stockcode,description
84029E,RED WOOLLY HOTTIE WHITE HEART.
84029G,KNITTED UNION FLAG HOT WATER BOTTLE
84218,BOX/12 CHICK & EGG IN BASKET
84226,HEN HOUSE W FAMILY IN BARN & NEST
84227,HEN HOUSE W CHICK IN NEST
84247E,PACK OF 12 CHRISTMAS FUN CARDS
84247K,"FOLK ART GREETING CARD,pack/12"
84247L,FAWN AND MUSHROOM GREETING CARD
84251B,"GREETING CARD, STICKY GORDON"
84270,ASSTD DESIGN BUBBLE GUM RING
84279B,CHERRY BLOSSOM DECORATIVE FLASK
84306,S/3 PINK SQUARE PLANTERS ROSES
84313C,ORANGE TV TRAY TABLE
84341B,SMALL PINK MAGIC CHRISTMAS TREE
84387A,BIRD ON BRANCH CANVAS SCREEN
84388,WISE MAN STAR SHAPE EGG PAN
84402B,PURPLE DRESS JEWELLERY STAND
84406B,CREAM CUPID HEARTS COAT HANGER
84415A,PINK FLOCK SUEDE CUSHION COVER
84415B,BLUE FLOCK CUSHION COVER
84452,METAL RABBIT LADDER EASTER
84459B,YELLOW METAL CHICKEN HEART
84465,15 PINK FLUFFY CHICKS IN BOX
84466,TOP SECRET PEN SET
84497,BUTTONS AND STRIPES NOTEBOOK
84499,BLACK FLOWER CANDLE PLATE
84507B,STRIPES DESIGN MONKEY DOLL
84508B,STRIPES DESIGN TEDDY
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS
84522,PINK PARTY SUNGLASSES
84531A,PINK KNITTED EGG COSY
84531B,BLUE KNITTED EGG COSY
84534B,FAIRY CAKE NOTEBOOK A5 SIZE
84535A,ENGLISH ROSE NOTEBOOK A6 SIZE
84539,KNITTED RABBIT DOLL
84548,CROCHET BEAR RED/BLUE  KEYRING
84559B,3D SHEET OF CAT STICKERS
84562A,PINK/WHITE RIBBED MELAMINE JUG
84563A,PINK & WHITE BREAKFAST TRAY
84569A,PACK 3 IRON ON DOG PATCHES
84569B,PACK 3 FIRE ENGINE/CAR PATCHES
84569C,PACK 4 FLOWER/BUTTERFLY PATCHES
84569D,PACK 6 HEART/ICE-CREAM PATCHES
84576,BLUE CAT BISCUIT BARREL PINK HEART
84581,DOG TOY WITH PINK CROCHET SKIRT
84584,PINK GINGHAM CAT WITH SCARF
84593,CROCHET ROSE DES CLOTHES HANGER
84595E,LARGE TORTILLA DESIGN RED BOWL
84596E,SMALL LICORICE DES PINK BOWL
84596G,SMALL CHOCOLATES PINK BOWL
84596J,MIXED NUTS LIGHT GREEN BOWL
84596L,BISCUITS SMALL BOWL LIGHT BLUE
84597B,RETRO BROWN BALL ASHTRAY
84597C,RETRO PINK BALL ASHTRAY
84611B,thrown away
84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE
84629,WHITE 3 FRAME BIRDS AND TREE
84631,FRUIT TREE AND BIRDS WALL PLAQUE
84638,SMALL KITCHEN FLOWER POTS PLAQUE
84660A,WHITE STITCHED WALL CLOCK
84660C,PINK STITCHED WALL CLOCK
84663A,GRASS HOPPER WOODEN WALL CLOCK
84666,SQUARE CHERRY BLOSSOM CABINET
84675,FROG KING WATERING CAN
84678,CLASSICAL ROSE SMALL VASE
84683,CLASSICAL ROSE CANDLESTAND
84685,BEACH HUT KEY CABINET
84686,BEACH HUT MIRROR
84688,BEACH HUT DESIGN BLACKBOARD
84689,S/2 BEACH HUT TREASURE CHESTS
84691,PACK 20 DOLLY PEGS
84706D,CHERRY BLOSSOM TABLE CLOCK
84708B,PINK JEWELLED PHOTO FRAME
84709B,PINK OVAL JEWELLED MIRROR
84715,SET OF 6 ICE CREAM SKITTLES
84725,FREESTYLE CANVAS ART PICTURE
84741C,CITRUS GARLAND FELT FLOWERS
84743C,ORANGE FELT VASE + FLOWERS
84746,PINK EASTER HENS+FLOWER
84748,FOLK FELT HANGING MULTICOL GARLAND
84750A,PINK SMALL GLASS CAKE STAND
84750B,BLACK SMALL GLASS CAKE STAND
84751B,BLACK MEDIUM GLASS CAKE STAND
84754,S/15 SILVER GLASS BAUBLES IN BAG
84760S,SMALL HANGING GLASS+ZINC LANTERN
84763,ZINC FINISH 15CM PLANTER POTS
84766,SILVER ROCOCO CANDLE STICK
84773,RED ROSE AND LACE C/COVER
84789,ENCHANTED BIRD PLANT CAGE
84795C,OCEAN STRIPE HAMMOCK
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2
84798B,PURPLE FOXGLOVE ARTIIFCIAL FLOWER
84799,SPRIG LAVENDER ARTIFICIAL FLOWER
84800L,LARGE WHITE/PINK ROSE ART FLOWER
84800M,MEDIUM WHITE/PINK ROSE ART FLOWER
84801B,WHITE HYDRANGEA ART FLOWER
84802A,WHITE ANEMONE ARTIFICIAL FLOWER
84802B,PURPLE ANEMONE ARTIFICIAL FLOWER
84804B,BLUE DELPHINIUM ARTIFICIAL FLOWER
84809A,WHITE CHRYSANTHEMUMS ART FLOWER
84823,DANISH ROSE FOLDING CHAIR
84840,SWEETHEART CARRY-ALL BASKET
84846A,SCENTED CANDLE IN DIGITALIS TIN
84847,FLORAL BATHROOM SET
84849D,HOT BATHS SOAP HOLDER
84854,GIRLY PINK TOOL SET
84856L,LARGE TAHITI BEACH BAG
84856S,SMALL TAHITI BEACH BAG
84857B,BLUE MONTE CARLO HANDBAG
84857C,PINK MONTE CARLO HANDBAG
84858C,PINK RIVIERA HANDBAG
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2
84873A,FUNKY FLOWER PICNIC BAG FOR 4
84874B,BLUE TRAVEL FIRST AID KIT
84876B,GREEN HEART COMPACT MIRROR
84877A,PINK ROUND COMPACT MIRROR
84877B,GREEN ROUND COMPACT MIRROR
84877D,BLUE ROUND COMPACT MIRROR
84880,WHITE WIRE EGG HOLDER
84881,BLUE WIRE SPIRAL CANDLE HOLDER
84898F,YELLOW FLOWERS FELT HANDBAG KIT
84905,PINK BUTTERFLY CUSHION COVER
84906,PINK B'FLY C/COVER W BOBBLES
84907,PINK YELLOW PATCH CUSHION COVER
84910A,PINK PAISLEY CUSHION COVER
84912A,PINK ROSE WASHBAG
84912B,GREEN ROSE WASHBAG
84913A,SOFT PINK ROSE TOWEL
84916,HAND TOWEL PALE BLUE W FLOWERS
84917,WHITE HAND TOWEL WITH BUTTERFLY
84919,BLUE CUSHION COVER WITH FLOWER
84920,PINK FLOWER FABRIC PONY
84921,CREAM AND PINK FLOWERS PONY
84925D,LA PALMIERA WALL THERMOMETER
84925F,PSYCHEDELIC WALL THERMOMETER
84927A,WAKE UP COCKEREL TILE HOOK
84927D,LA PALMIERA TILE HOOK
84927E,FLOWERS TILE HOOK
84944,SET OF 6 KASHMIR FOLKART BAUBLES
84952C,MIRROR LOVE BIRD T-LIGHT HOLDER
84968B,SET OF 16 VINTAGE IVORY CUTLERY
84975,HEART SHAPED MIRROR
84976,RECTANGULAR SHAPED MIRROR
84977,WIRE FLOWER T-LIGHT HOLDER
84989A,75 GREEN FAIRY CAKE CASES
84990,60 GOLD AND SILVER FAIRY CAKE CASES
84993B,75 BLACK PETIT FOUR CASES
85006,SET 4 NURSERY DES ROUND BOXES
85008,SET OF 3 CONEY ISLAND OVAL BOXES
85016,SET OF 6 VINTAGE NOTELETS KIT
85017A,ENVELOPE 50 ROMANTIC IMAGES
85017B,ENVELOPE 50 BLOSSOM IMAGES
85025C,PINK HEART SHAPE PHOTO FRAME
85027L,FRENCH CHATEAU LARGE PLATTER
85028L,FRENCH CHATEAU LARGE FRUIT BOWL
85028S,FRENCH CHATEAU SMALL FRUITBOWL
85030,FRENCH CHATEAU OVAL PLATTER
85031C,CURIOUS IMAGES SCRAP BOOK SET
85032D,YULETIDE IMAGES GIFT WRAP SET
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL
85045,GREEN CHRISTMAS TREE STRING 20LIGHT
85049B,LUSH GREENS RIBBONS
85049D,BRIGHT BLUES RIBBONS
85049F,BABY BOOM RIBBONS
85061W,WHITE JEWELLED HEART DECORATION
85064,CREAM SWEETHEART LETTER RACK
85067,CREAM SWEETHEART WALL CABINET
85068,CREAM SWEETHEART SHELF + HOOKS
85084,HOLLY TOP CHRISTMAS STOCKING
85086A,CANDY SPOT HEART DECORATION
85087,CANDY SPOT CUSHION COVER
85092,CANDY SPOT TEA COSY
85096,HILDA CANDY SPOT RABBIT
85098B,BLUE FLYING SINGING CANARY
85099F,JUMBO BAG STRAWBERRY
85106,CUT GLASS HEXAGON T-LIGHT HOLDER
85107,CUT GLASS T-LIGHT HOLDER OCTAGON
85118,HEART T-LIGHT HOLDER
85119,WATERING CAN SINGLE HOOK PISTACHIO
85124C,GREEN JUICY FRUIT PHOTO FRAME
85125,SMALL ROUND CUT GLASS CANDLESTICK
85126,LARGE ROUND CUTGLASS CANDLESTICK
85127,SMALL SQUARE CUT GLASS CANDLESTICK
85130A,BEADED PEARL HEART WHITE LARGE
85132B,CHARLIE AND LOLA TABLE TINS
85135A,YELLOW DRAGONFLY HELICOPTER
85135B,BLUE DRAGONFLY HELICOPTER
85136B,BLUE SHARK HELICOPTER
85141,JARDIN ETCHED GLASS FRUITBOWL
85144,JARDIN ETCHED GLASS CHEESE DISH
85145,JARDIN ETCHED GLASS LARGE BELL JAR
85146,JARDIN ETCHED GLASS SMALL BELL JAR
85150,LADIES & GENTLEMEN METAL SIGN
85152,HAND OVER THE CHOCOLATE   SIGN
85160A,WHITE BIRD GARDEN DESIGN MUG
85167B,BLACK GRAND BAROQUE PHOTO FRAME
85170A,SET/6 IVORY BIRD T-LIGHT CANDLES
85175,CACTI T-LIGHT CANDLES
85185B,PINK HORSE SOCK PUPPET
85185D,FROG SOCK PUPPET
85188B,PINK METAL SWINGING BUNNY
85189,HANGING BUTTERFLY  EGG
85195,HANGING HEART BASKET
85197,SET OF 12 MINI BUNNIES IN A BUCKET
85198,ASSORTED FARMYARD ANIMALS IN BUCKET
85200,BUNNY EGG BOX
85206A,CREAM FELT EASTER EGG BASKET
85211,S/4 GROOVY CAT MAGNETS
85213,MINI  ZINC GARDEN DECORATIONS
85214,TUB 24 PINK FLOWER PEGS
85215,ASSORTED CHEESE FRIDGE MAGNETS
85224,ASSORTED COLOUR SILK GLASSES CASE
85230E,STRAWBRY SCENTED VOTIVE CANDLE
85230F,JASMINE VOTIVE CANDLE
85232A,SET/3 POLKADOT STACKING TINS
85232B,SET OF 3 BABUSHKA STACKING TINS
85232D,SET/3 DECOUPAGE STACKING TINS
90002D,FLOWER BURST SILVER RING CRYSTAL
90005A,JADE GREEN ENAMEL HAIR COMB
90010A,MIDNIGHT BLUE GLASS/SILVER BRACELET
90010B,BLACK/WHITE GLASS/SILVER BRACELET
90014B,GOLD M PEARL  ORBIT NECKLACE
90014C,SILVER AND BLACK ORBIT NECKLACE
90035A,"PEARL & SHELL 42""NECKL. GREEN"
90042C,FRESHWATER PEARL BRACELET IVORY
90082B,DIAMANTE BOW BROOCH RED COLOUR
90082D,DIAMANTE BOW BROOCH BLACK COLOUR
90084,PINK CRYSTAL GUITAR PHONE CHARM
90096,NECKLACE+BRACELET SET BLUE BLOSSOM
90099,NECKLACE+BRACELET SET BLUE HIBISCUS
90100,NECKLACE+BRACELET SET PINK DAISY
90104,PURPLE FRANGIPANI HAIRCLIP
90112,PINK DOLLY HAIR CLIPS
90120D,WHITE MURANO TWIST BRACELET
90164A,PINK ROSEBUD PEARL BRACELET
90164B,WHITE  ROSEBUD PEARL BRACELET
90167,BEADED LOVE HEART JEWELLERY SET
90173,PAIR BUTTERFLY HAIR CLIPS
90200C,BLUE SWEETHEART BRACELET
90209B,GREEN ENAMEL+GLASS HAIR COMB
90209C,PINK ENAMEL+GLASS HAIR COMB
90210C,RED   ACRYLIC FACETED BANGLE
C2,CARRIAGE
DCGS0070,CAMOUFLAGE DOG COLLAR
DOT,DOTCOM POSTAGE
POST,POSTAGE
gift_0001_10,Dotcomgiftshop Gift Voucher £10.00
gift_0001_30,Dotcomgiftshop Gift Voucher £30.00
